Laptop ID;Brand;Segment;Model;Price;CPU Brand;CPU Type;CPU Speed;HD Size;HD Type;RAM size;Graphic Card;Webcam;Cache Size;DVD;Wireless;LCD Inches;Bluetooth;OS;Weight
43;Asus;Serie U;UX31A-R4003H ;1239;Intel;Intel Core i7-3517U;1.9;256;SSD;4;Intel HD Graphics 4000;Yes;4;Yes;Yes;13.3;Yes;Windows 8;2.1
44;Asus;Serie X;X201EKX182DU;300;Intel;Intel 1007U;1.5;320;HDD;2;Intel UMA;Yes;2;No;Yes;11.6;Yes;Ubuntu;1.1
45;Asus;Serie X;X201EKX183DU;300;Intel;Intel 1007U;1.5;320;HDD;2;Intel UMA;Yes;2;No;Yes;11.6;Yes;Ubuntu;1.1
46;Asus;Serie X;X401AWX386H;602;Intel;Intel Core i3-3110M;2.4;500;HDD;4;Intel UMA;Yes;2;Yes;Yes;14.0;Yes;Windows 8;1.6
47;Asus;Serie X;X402CA-WX063H;400;Intel;Intel 1007U;1.5;320;HDD;4;Intel UMA;Yes;2;Yes;No;14.0;Yes;Windows 8;1.6
48;Asus;Serie X;X402CAWX061H;542;Intel;Intel Core i3-3217U;1.8;500;HDD;4;Intel UMA;Yes;2;Yes;Yes;14.0;Yes;Windows 8;2.0
49;Asus;Serie X;X402CA-WX062H;542;Intel;Intel Core i3-3217U;1.8;500;HDD;4;Intel UMA;Yes;2;Yes;Yes;14.0;Yes;Windows 8;2.0
50;Asus;Serie X;X55A-SX191H;456;Intel;Intel 2020M;2.4;320;HDD;4;Intel UMA;Yes;2;Yes;Yes;15.6;Yes;Windows 8;2.2
51;Asus;Serie X;X55C-SX195H;400;Intel;Intel 1000M;1.8;500;HDD;4;Intel UMA;Yes;2;Yes;Yes;15.6;Yes;Windows 8;2.2
52;Asus;Serie X;X55VD-SX203H;558;Intel;Intel Core i3-3120M;2.5;500;HDD;4;NVIDIA GeForce GT610M;Yes;2;Yes;Yes;15.6;Yes;Windows 8;2.2
53;Asus;Serie Taichi;TAICHI21-CW011H;1605;Intel;Intel Core i7-3537U;2.0;256;SSD;4;Intel HD Graphics 4000;Yes;4;No;Yes;11.6;Yes;Windows 8;1.05
54;HP;Mini;1199ep;579;Intel;Intel Atom N270;1.6;80;HDD;1;Intel GMA950;Yes;2;No;No;10.1;No;Windows 8;1.1
55;HP;Presario;CQ58-302SP;423;AMD;AMD Dual-Core E1-1200;1.4;500;HDD;4;AMD Radeon HD7310;Yes;2;Yes;Yes;15.6;Yes;Windows 8;2.1
56;HP;Presario;CQ58-303SP;399;AMD;AMD Dual-Core E1-1200;1.4;500;HDD;4;AMD Radeon HD7310;Yes;2;Yes;Yes;15.6;Yes;Windows 8;2.1
57;HP;Presario;650;397;Intel;Intel Pentium B960;2.2;500;HDD;4;AMD Radeon HD7310;Yes;2;Yes;Yes;15.6;Yes;Windows 8;2.1
58;HP;Presario;650;438;Intel;Intel Pentium 2020M;2.4;500;HDD;4;AMD Radeon HD7310;Yes;2;Yes;Yes;15.6;Yes;Windows 8;2.1
59;HP;Presario;650;490;Intel;Intel Core i3-2348M;2.3;500;HDD;4;AMD Radeon HD7310;Yes;2;Yes;Yes;15.6;Yes;Windows 8;2.1
60;HP;Presario;650;516;Intel;Intel Core i3-2348M;2.3;500;HDD;4;AMD Radeon HD7310;Yes;2;Yes;Yes;15.6;Yes;Windows 8;2.1
61;HP;dv6;dv6-7280sp;1025;Intel;Intel Core i7-3630QM;2.4;750;HDD;6;NVIDIA GeForce GT630M;Yes;4;Yes;Yes;15.6;Yes;Windows 8;2.1
62;HP;G6;g6-2307sp ;903;Intel;Intel Core i7-3632QM;2.2;500;HDD;8;AMD Radeon HD7670M;Yes;4;Yes;Yes;15.6;Yes;Windows 8;2.1
